class	stat	age	trestbps	chol	thalach	oldpeak
122	count	4.0	4.0	4.0	4.0	4.0
122	mean	58.0	170.0	225.0	146.0	2.8
122	std	0.0	0.0	0.0	0.0	0.0
123	count	4.0	4.0	4.0	4.0	4.0
123	mean	71.0	112.0	149.0	125.0	1.6
123	std	0.0	0.0	0.0	0.0	0.0
124	count	4.0	4.0	4.0	4.0	4.0
124	mean	58.0	130.0	197.0	131.0	0.6
124	std	0.0	0.0	0.0	0.0	0.0
125	count	4.0	4.0	4.0	4.0	4.0
125	mean	65.0	150.0	225.0	114.0	1.0
125	std	0.0	0.0	0.0	0.0	0.0
126	count	4.0	4.0	4.0	4.0	4.0
126	mean	51.0	100.0	222.0	143.0	1.2
126	std	0.0	0.0	0.0	0.0	0.0
127	count	4.0	4.0	4.0	4.0	4.0
127	mean	64.0	120.0	246.0	96.0	2.2
127	std	0.0	0.0	0.0	0.0	0.0
128	count	4.0	4.0	4.0	4.0	4.0
128	mean	64.0	140.0	335.0	158.0	0.0
128	std	0.0	0.0	0.0	0.0	0.0
129	count	4.0	4.0	4.0	4.0	4.0
129	mean	54.0	110.0	239.0	126.0	2.8
129	std	0.0	0.0	0.0	0.0	0.0
130	count	3.0	3.0	3.0	3.0	3.0
130	mean	44.0	140.0	235.0	180.0	0.0
130	std	0.0	0.0	0.0	0.0	0.0
131	count	3.0	3.0	3.0	3.0	3.0
131	mean	44.0	120.0	263.0	173.0	0.0
131	std	0.0	0.0	0.0	0.0	0.0
132	count	3.0	3.0	3.0	3.0	3.0
132	mean	52.0	128.0	205.0	184.0	0.0
132	std	0.0	0.0	0.0	0.0	0.0
133	count	3.0	3.0	3.0	3.0	3.0
133	mean	55.0	135.0	250.0	161.0	1.3999999999999997
133	std	0.0	0.0	0.0	0.0	0.0
134	count	3.0	3.0	3.0	3.0	3.0
134	mean	63.0	135.0	252.0	172.0	0.0
134	std	0.0	0.0	0.0	0.0	0.0
135	count	3.0	3.0	3.0	3.0	3.0
135	mean	45.0	115.0	260.0	185.0	0.0
135	std	0.0	0.0	0.0	0.0	0.0
136	count	3.0	3.0	3.0	3.0	3.0
136	mean	57.0	130.0	236.0	174.0	0.0
136	std	0.0	0.0	0.0	0.0	0.0
137	count	3.0	3.0	3.0	3.0	3.0
137	mean	69.0	140.0	254.0	146.0	2.0
137	std	0.0	0.0	0.0	0.0	0.0
138	count	3.0	3.0	3.0	3.0	3.0
138	mean	52.0	128.0	255.0	161.0	0.0
138	std	0.0	0.0	0.0	0.0	0.0
139	count	3.0	3.0	3.0	3.0	3.0
139	mean	44.0	112.0	290.0	153.0	0.0
139	std	0.0	0.0	0.0	0.0	0.0
140	count	3.0	3.0	3.0	3.0	3.0
140	mean	39.0	94.0	199.0	179.0	0.0
140	std	0.0	0.0	0.0	0.0	0.0
141	count	3.0	3.0	3.0	3.0	3.0
141	mean	40.0	140.0	199.0	178.0	1.3999999999999997
141	std	0.0	0.0	0.0	0.0	0.0
142	count	3.0	3.0	3.0	3.0	3.0
142	mean	63.0	140.0	195.0	179.0	0.0
142	std	0.0	0.0	0.0	0.0	0.0
143	count	3.0	3.0	3.0	3.0	3.0
143	mean	42.0	120.0	209.0	173.0	0.0
143	std	0.0	0.0	0.0	0.0	0.0
144	count	3.0	3.0	3.0	3.0	3.0
144	mean	63.0	124.0	197.0	136.0	0.0
144	std	0.0	0.0	0.0	0.0	0.0
145	count	3.0	3.0	3.0	3.0	3.0
145	mean	64.0	128.0	263.0	105.0	0.20000000000000004
145	std	0.0	0.0	0.0	0.0	0.0
146	count	3.0	3.0	3.0	3.0	3.0
146	mean	62.0	138.0	294.0	106.0	1.8999999999999997
146	std	0.0	0.0	0.0	0.0	0.0
147	count	3.0	3.0	3.0	3.0	3.0
147	mean	68.0	180.0	274.0	150.0	1.6000000000000003
147	std	0.0	0.0	0.0	0.0	0.0
148	count	3.0	3.0	3.0	3.0	3.0
148	mean	45.0	104.0	208.0	148.0	3.0
148	std	0.0	0.0	0.0	0.0	0.0
149	count	3.0	3.0	3.0	3.0	3.0
149	mean	67.0	106.0	223.0	142.0	0.3
149	std	0.0	0.0	0.0	0.0	0.0
150	count	3.0	3.0	3.0	3.0	3.0
150	mean	51.0	110.0	175.0	123.0	0.6
150	std	0.0	0.0	0.0	0.0	0.0
151	count	3.0	3.0	3.0	3.0	3.0
151	mean	70.0	156.0	245.0	143.0	0.0
151	std	0.0	0.0	0.0	0.0	0.0
152	count	3.0	3.0	3.0	3.0	3.0
152	mean	48.0	130.0	275.0	139.0	0.20000000000000004
152	std	0.0	0.0	0.0	0.0	0.0
153	count	3.0	3.0	3.0	3.0	3.0
153	mean	57.0	130.0	131.0	115.0	1.2
153	std	0.0	0.0	0.0	0.0	0.0
154	count	3.0	3.0	3.0	3.0	3.0
154	mean	57.0	150.0	126.0	173.0	0.20000000000000004
154	std	0.0	0.0	0.0	0.0	0.0
155	count	3.0	3.0	3.0	3.0	3.0
155	mean	53.0	130.0	197.0	152.0	1.2
155	std	0.0	0.0	0.0	0.0	0.0
156	count	3.0	3.0	3.0	3.0	3.0
156	mean	74.0	120.0	269.0	121.0	0.20000000000000004
156	std	0.0	0.0	0.0	0.0	0.0
157	count	3.0	3.0	3.0	3.0	3.0
157	mean	71.0	160.0	302.0	162.0	0.4000000000000001
157	std	0.0	0.0	0.0	0.0	0.0
158	count	3.0	3.0	3.0	3.0	3.0
158	mean	43.0	115.0	303.0	181.0	1.2
158	std	0.0	0.0	0.0	0.0	0.0
159	count	3.0	3.0	3.0	3.0	3.0
159	mean	64.0	180.0	325.0	154.0	0.0
159	std	0.0	0.0	0.0	0.0	0.0
160	count	3.0	3.0	3.0	3.0	3.0
160	mean	59.0	164.0	176.0	90.0	1.0
160	std	0.0	0.0	0.0	0.0	0.0
161	count	3.0	3.0	3.0	3.0	3.0
161	mean	48.0	130.0	245.0	180.0	0.20000000000000004
161	std	0.0	0.0	0.0	0.0	0.0
162	count	3.0	3.0	3.0	3.0	3.0
